# "X"	"Y"	"Inline"	"Crossline"	"Z"	"Amplitude"
# - - - - - - - - - -
1705843.59	5818678.03	1100	1150	148.436665534973145	3844.5942383
1705845.71	5818690.35	1100	1151	148.340553045272827	3636.5385742
1705847.83	5818702.66	1100	1152	148.484095931053162	3435.5415039
1705849.96	5818714.98	1100	1153	148.605182766914368	3677.178711
1705852.08	5818727.29	1100	1154	148.475363850593567	3810.5092773
1705854.20	5818739.61	1100	1155	148.452892899513245	3595.0761719
1705856.33	5818751.92	1100	1156	148.502826690673828	3612.612061
1705858.45	5818764.24	1100	1157	148.457884788513184	4081.75708
1705860.57	5818776.56	1100	1158	148.2207328081131	3849.369873
1705862.69	5818788.87	1100	1159	148.330569267272949	3918.296875
1705864.82	5818801.19	1100	1160	148.35803210735321	4015.4211426
1705868.22	5818673.79	1101	1150	148.028850555419922	3455.3884277
1705870.34	5818686.11	1101	1151	147.881075739860535	3531.546631
1705872.47	5818698.42	1101	1152	147.786259651184082	3413.025391
1705874.59	5818710.74	1101	1153	148.095354437828064	3253.2585449
1705876.71	5818723.05	1101	1154	147.850289940834045	3511.897461
1705878.84	5818735.37	1101	1155	147.805958986282349	3231.9553223
1705880.96	5818747.68	1101	1156	147.893399	3362.5437012
1705883.08	5818760.00	1101	1157	147.892162203788757	3457.5568848
1705885.20	5818772.31	1101	1158	147.794872522354126	3346.0678711
1705887.33	5818784.63	1101	1159	147.9869931936264	3589.0024414
1705889.45	5818796.94	1101	1160	148.04732799530029	3891.1618652
1705892.85	5818669.55	1102	1150	147.851645946502686	3482.8269043
1705894.98	5818681.86	1102	1151	147.926151752471924	3547.655029
1705897.10	5818694.18	1102	1152	147.796675562858582	3288.5334473
1705899.22	5818706.49	1102	1153	147.797897458076477	3218.61084
1705901.34	5818718.81	1102	1154	147.847980260849	3347.977051
1705903.47	5818731.12	1102	1155	147.723391652107239	3173.919189
1705905.59	5818743.44	1102	1156	147.84553647041321	3140.9084473
1705907.71	5818755.75	1102	1157	147.9603499174118	3178.8635254
1705909.84	5818768.07	1102	1158	147.898063063621521	3162.6486816
1705911.96	5818780.38	1102	1159	148.09715747833252	3414.64502
1705914.08	5818792.70	1102	1160	148.022636771202087	3405.8422852
1705917.48	5818665.31	1103	1150	147.83948659896851	3405.435791
1705919.61	5818677.62	1103	1151	147.786140441894531	3365.253418
1705921.73	5818689.94	1103	1152	147.74148166179657	3276.161377
1705923.85	5818702.25	1103	1153	147.89034426212311	3156.21167
1705925.98	5818714.57	1103	1154	147.946164011955261	3226.2219238
1705928.10	5818726.88	1103	1155	147.84941077232361	3240.4460449
1705930.22	5818739.20	1103	1156	147.743955254554749	3176.2988281
1705932.34	5818751.51	1103	1157	147.957324981689453	3440.0720215
1705934.47	5818763.83	1103	1158	148.0540931224823	3472.0661621
1705936.59	5818776.14	1103	1159	148.138448596	3391.7324219
1705938.71	5818788.46	1103	1160	148.06152880191803	3373.1447754
1705942.12	5818661.06	1104	1150	147.54253625869751	3397.219971
1705944.24	5818673.38	1104	1151	147.4975198507309	3282.2043457
1705946.36	5818685.69	1104	1152	147.690966725349426	3416.8186035
1705948.48	5818698.01	1104	1153	147.80533313751221	3273.1643066
1705950.61	5818710.32	1104	1154	147.761538624763489	3420.3652344
1705952.73	5818722.64	1104	1155	147.676378488540649	3245.9567871
1705954.85	5818734.95	1104	1156	147.481709718704224	3309.0793457
1705956.98	5818747.27	1104	1157	147.631362080574036	3568.1228027
1705959.10	5818759.58	1104	1158	147.906318306922913	3583.782959
1705961.22	5818771.90	1104	1159	147.976890206336975	3495.1694336
1705963.34	5818784.21	1104	1160	147.80290424823761	3402.1445313
1705966.75	5818656.82	1105	1150	147.214040160179138	3421.6445313
1705968.87	5818669.13	1105	1151	147.397339344024658	3245.7363281
1705970.99	5818681.45	1105	1152	147.625535726547241	3472.65625
1705973.12	5818693.77	1105	1153	147.839173674583435	3366.49585
1705975.24	5818706.08	1105	1154	147.816106677055359	3580.3764648
1705977.36	5818718.40	1105	1155	147.715359926223755	3723.7592773
1705979.49	5818730.71	1105	1156	147.591546177864075	3499.8032227
1705981.61	5818743.03	1105	1157	147.56849408149719	3752.1877441
1705983.73	5818755.34	1105	1158	147.712931036949158	3843.1318359
1705985.85	5818767.66	1105	1159	147.791832685470581	3681.4372559
1705987.98	5818779.97	1105	1160	147.734791040420532	3636.7036133
1705991.38	5818652.58	1106	1150	147.817552089691162	3476.1328125
1705993.50	5818664.89	1106	1151	147.925853729248047	3721.1811523
1705995.63	5818677.21	1106	1152	147.97760546207428	3652.809082
1705997.75	5818689.52	1106	1153	148.0257511138916	3655.64502
1705999.87	5818701.84	1106	1154	148.1388658285141	3646.1396484
1706001.99	5818714.15	1106	1155	148.182183504104614	3900.1315918
1706004.12	5818726.47	1106	1156	148	3689.1269531
1706006.24	5818738.78	1106	1157	148.075088858604431	4179.1865234
1706008.36	5818751.10	1106	1158	148.08952808380127	4091.253418
1706010.49	5818763.41	1106	1159	147.955939173698425	3974.9794922
1706012.61	5818775.73	1106	1160	148.1400728225708	4167.3081055
1706016.01	5818648.33	1107	1150	143.704310059547424	2153.1657715
1706018.13	5818660.65	1107	1151	143.712639808654785	2178.8261719
1706020.26	5818672.96	1107	1152	143.850713968276978	2266.49
1706022.38	5818685.28	1107	1153	144.24586296081543	2233.6489258
1706024.50	5818697.60	1107	1154	144.381538033485413	2198.7150879
1706026.63	5818709.91	1107	1155	144.69456672668457	2314.0588379
1706028.75	5818722.23	1107	1156	144.854053854942322	2420.6164551
1706030.87	5818734.54	1107	1157	144.456535577774048	2620.2197266
1706032.99	5818746.86	1107	1158	144.562453031539917	2641.7036133
1706035.12	5818759.17	1107	1159	144.802883267402649	2712.0605469
1706037.24	5818771.49	1107	1160	144.7814553976059	2913.7053223
