# "X"	"Y"	"Inline"	"Crossline"	"Z"	"Amplitude"
# - - - - - - - - - -
1709752.38	5828111.45	1190	1947	531.371772289276123	1e30
1709754.50	5828123.76	1190	1948	531.209707260131836	1e30
1709756.63	5828136.08	1190	1949	530.627727508544922	1e30
1709758.75	5828148.39	1190	1950	530.925273895263672	1e30
1709760.87	5828160.71	1190	1951	531.106829643249512	1e30
1709763.00	5828173.02	1190	1952	530.767202377319336	1e30
1709765.12	5828185.34	1190	1953	528.976976871490479	1e30
1709767.24	5828197.65	1190	1954	528.224825859069824	1e30
1709769.36	5828209.97	1190	1955	528.149843215942383	1e30
1709771.49	5828222.28	1190	1956	528.226196765899658	1e30
1709773.61	5828234.60	1190	1957	528.872251510620117	1e30
1709775.73	5828246.91	1190	1958	529.518723487854	1e30
1709777.86	5828259.23	1190	1959	529.183387756347656	1e30
1709779.98	5828271.54	1190	1960	528.535962104797363	1e30
1709782.10	5828283.86	1190	1961	529.045581817626953	1e30
1709784.22	5828296.17	1190	1962	530.006825923919678	1e30
1709786.35	5828308.49	1190	1963	528.992056846618652	1e30
1709788.47	5828320.80	1190	1964	528.449833393096924	1e30
1709790.59	5828333.12	1190	1965	527.860343456268311	1e30
1709792.72	5828345.44	1190	1966	527.945578098297119	1e30
1709794.84	5828357.75	1190	1967	528.527736663818359	1e30
1709796.96	5828370.07	1190	1968	528.5944938659668	1e30
1709799.08	5828382.38	1190	1969	528.32484245300293	1e30
1709801.21	5828394.70	1190	1970	527.793586254119873	1e30
1709803.33	5828407.01	1190	1971	526.782453060150146	1e30
1709805.45	5828419.33	1190	1972	526.577293872833252	1e30
1709807.58	5828431.64	1190	1973	526.920557022094727	1e30
1709809.70	5828443.96	1190	1974	526.881814002990723	1e30
1709811.82	5828456.27	1190	1975	526.632785797119141	1e30
1709813.94	5828468.59	1190	1976	526.413559913635254	1e30
1709816.07	5828480.90	1190	1977	525.983810424804688	1e30
1709818.19	5828493.22	1190	1978	525.9559154510498	1e30
1709820.31	5828505.53	1190	1979	526.329696178436279	1e30
1709822.44	5828517.85	1190	1980	525.8975625038147	1e30
1709824.56	5828530.16	1190	1981	525.538980960845947	1e30
1709826.68	5828542.48	1190	1982	525.385200977325439	1e30
1709828.80	5828554.79	1190	1983	525.551795959472656	1e30
1709830.93	5828567.11	1190	1984	526.075124740600586	1e30
1709833.05	5828579.43	1190	1985	526.314437389373779	1e30
1709835.17	5828591.74	1190	1986	525.74038505554199	1e30
1709837.30	5828604.06	1190	1987	525.480926036834717	1e30
1709839.42	5828616.37	1190	1988	525.321304798126221	1e30
1709841.54	5828628.69	1190	1989	525.385499	1e30
1709843.67	5828641.00	1190	1990	525.749683380126953	1e30
