# Petrel Points with attributes
# Unit in X and Y direction: m
# Unit in depth: m
VERSION 1
BEGIN HEADER
X
Y
Z
END HEADER
374667.10 4541269.76 -5199.68 
374662.03 4541281.19 -5199.59 
374656.96 4541292.62 -5199.50 
374651.89 4541304.04 -5199.44 
374646.83 4541315.47 -5199.39 
374641.76 4541326.90 -5199.31 
374636.69 4541338.32 -5199.22 
374631.62 4541349.75 -5199.25 
374626.56 4541361.18 -5199.29 
374621.49 4541372.61 -5199.26 
374616.42 4541384.03 -5199.23 
374611.36 4541395.46 -5199.24 
374606.29 4541406.89 -5199.24 
374601.22 4541418.31 -5199.25 
374596.15 4541429.74 -5199.27 
374591.09 4541441.17 -5199.24 
374586.02 4541452.59 -5199.22 
374580.95 4541464.02 -5199.20 
374575.88 4541475.45 -5199.19 
374570.82 4541486.87 -5199.17 
374565.75 4541498.30 -5199.16 
374560.68 4541509.73 -5199.10 
374555.61 4541521.16 -5199.05 
374550.55 4541532.58 -5198.97 
374545.48 4541544.01 -5198.89 
374540.41 4541555.44 -5198.85 
374535.35 4541566.86 -5198.81 
374530.28 4541578.29 -5198.68 
374525.21 4541589.72 -5198.54 
374520.14 4541601.14 -5197.94 
374515.08 4541612.57 -5197.33 
374510.01 4541624.00 -5196.70 
374504.94 4541635.42 -5196.07 
374499.87 4541646.85 -5195.42 
374494.81 4541658.28 -5194.76 
374489.74 4541669.71 -5194.05 
374484.67 4541681.13 -5193.35 
374479.60 4541692.56 -5192.79 
374474.54 4541703.99 -5192.22 
374469.47 4541715.41 -5191.66 
374464.40 4541726.84 -5191.09 
374459.34 4541738.27 -5190.40 
374454.27 4541749.69 -5189.70 
374449.20 4541761.12 -5189.01 
374444.13 4541772.55 -5188.32 
374439.07 4541783.97 -5187.72 
374434.00 4541795.40 -5187.12 
374428.93 4541806.83 -5186.98 
374423.86 4541818.26 -5186.83 
374418.80 4541829.68 -5186.82 
374413.73 4541841.11 -5186.80 
374408.66 4541852.54 -5186.85 
374403.60 4541863.96 -5186.89 
374398.53 4541875.39 -5187.00 
374393.46 4541886.82 -5187.11 
374388.39 4541898.24 -5187.11 
374383.33 4541909.67 -5187.11 
374378.26 4541921.10 -5187.00 
374373.19 4541932.53 -5186.89 
374368.12 4541943.95 -5186.89 
374363.06 4541955.38 -5186.89 
374357.99 4541966.81 -5186.89 
374352.92 4541978.23 -5186.89 
374347.85 4541989.66 -5186.89 
374342.79 4542001.09 -5186.89 
374337.72 4542012.51 -5186.89 
374332.65 4542023.94 -5186.89 
374327.59 4542035.37 -5186.78 
374322.52 4542046.79 -5186.67 
374317.45 4542058.22 -5186.44 
374312.38 4542069.65 -5186.22 
374307.32 4542081.08 -5186.00 
374302.25 4542092.50 -5185.78 
374297.18 4542103.93 -5185.56 
374292.11 4542115.36 -5185.33 
374287.05 4542126.78 -5185.22 
374281.98 4542138.21 -5185.11 
374276.91 4542149.64 -5185.00 
374271.85 4542161.06 -5184.89 
374266.78 4542172.49 -5184.78 
374261.71 4542183.92 -5184.67 
374256.64 4542195.34 -5184.44 
374251.58 4542206.77 -5184.22 
374246.51 4542218.20 -5183.89 
374241.44 4542229.63 -5183.56 
374236.37 4542241.05 -5183.22 
374231.31 4542252.48 -5182.89 
374226.24 4542263.91 -5182.44 
374221.17 4542275.33 -5182.00 
374216.10 4542286.76 -5181.56 
374211.04 4542298.19 -5181.11 
374205.97 4542309.61 -5180.56 
374200.90 4542321.04 -5180.00 
374195.84 4542332.47 -5179.44 
374190.77 4542343.90 -5178.89 
374185.70 4542355.32 -5178.33 
374180.63 4542366.75 -5177.78 
374175.57 4542378.18 -5177.22 
374170.50 4542389.60 -5176.67 
374165.43 4542401.03 -5176.22 
374160.36 4542412.46 -5175.78 
374155.30 4542423.88 -5175.44 
374150.23 4542435.31 -5175.11 
374145.16 4542446.74 -5174.67 
374140.09 4542458.16 -5174.22 
374135.03 4542469.59 -5174.00 
374129.96 4542481.02 -5173.78 
374124.89 4542492.45 -5173.56 
374119.83 4542503.87 -5173.33 
374114.76 4542515.30 -5173.22 
374109.69 4542526.73 -5173.11 
374104.62 4542538.15 -5173.00 
374099.56 4542549.58 -5172.89 
374094.49 4542561.01 -5172.78 
374089.42 4542572.43 -5172.67 
374084.35 4542583.86 -5172.56 
374079.29 4542595.29 -5172.44 
374074.22 4542606.71 -5172.33 
374069.15 4542618.14 -5172.22 
374064.09 4542629.57 -5172.11 
374059.02 4542641.00 -5172.00 
374053.95 4542652.42 -5172.00 
374048.88 4542663.85 -5172.00 
374043.82 4542675.28 -5172.00 
374038.75 4542686.70 -5172.00 
374033.68 4542698.13 -5172.00 
374028.61 4542709.56 -5172.00 
374023.55 4542720.98 -5172.00 
374018.48 4542732.41 -5172.00 
374013.41 4542743.84 -5172.00 
374008.34 4542755.26 -5172.00 
374003.28 4542766.69 -5172.00 
373998.21 4542778.12 -5172.00 
373993.14 4542789.55 -5172.00 
373988.08 4542800.97 -5172.00 
373983.01 4542812.40 -5172.00 
373977.94 4542823.83 -5172.00 
373972.87 4542835.25 -5172.00 
373967.81 4542846.68 -5172.00 
373962.74 4542858.11 -5172.00 
373957.67 4542869.53 -5172.00 
373952.60 4542880.96 -5172.00 
373947.54 4542892.39 -5172.00 
373942.47 4542903.82 -5171.89 
373937.40 4542915.24 -5171.78 
373932.33 4542926.67 -5171.67 
373927.27 4542938.10 -5171.56 
373922.20 4542949.52 -5171.33 
373917.13 4542960.95 -5171.11 
373912.07 4542972.38 -5170.89 
373907.00 4542983.80 -5170.67 
373901.93 4542995.23 -5170.33 
373896.86 4543006.66 -5170.00 
373891.80 4543018.08 -5169.56 
373886.73 4543029.51 -5169.11 
373881.66 4543040.94 -5168.67 
373876.59 4543052.37 -5168.22 
373871.53 4543063.79 -5167.78 
373866.46 4543075.22 -5167.33 
373861.39 4543086.65 -5166.78 
373856.33 4543098.07 -5166.22 
373851.26 4543109.50 -5165.78 
373846.19 4543120.93 -5165.33 
373841.12 4543132.35 -5164.78 
373836.06 4543143.78 -5164.22 
373830.99 4543155.21 -5163.78 
373825.92 4543166.63 -5163.33 
373820.85 4543178.06 -5162.89 
373815.79 4543189.49 -5162.44 
373810.72 4543200.92 -5162.11 
373805.65 4543212.34 -5161.78 
373800.58 4543223.77 -5161.56 
373795.52 4543235.20 -5161.33 
373790.45 4543246.62 -5161.11 
373785.38 4543258.05 -5160.89 
373780.32 4543269.48 -5160.67 
373775.25 4543280.90 -5160.44 
373770.18 4543292.33 -5160.33 
373765.11 4543303.76 -5160.22 
373760.05 4543315.19 -5160.11 
373754.98 4543326.61 -5160.00 
373749.91 4543338.04 -5160.00 
373744.84 4543349.47 -5160.00 
373739.78 4543360.89 -5160.00 
373734.71 4543372.32 -5160.00 
373729.64 4543383.75 -5160.00 
373724.57 4543395.17 -5160.00 
373719.51 4543406.60 -5160.00 
373714.44 4543418.03 -5160.00 
373709.37 4543429.45 -5160.00 
373704.31 4543440.88 -5160.00 
373699.24 4543452.31 -5160.00 
373694.17 4543463.74 -5160.00 
373689.10 4543475.16 -5160.00 
373684.04 4543486.59 -5160.00 
373678.97 4543498.02 -5160.00 
373673.90 4543509.44 -5160.00 
373668.83 4543520.87 -5159.89 
373663.77 4543532.30 -5159.78 
373658.70 4543543.72 -5159.56 
373653.63 4543555.15 -5159.33 
373648.57 4543566.58 -5159.11 
373643.50 4543578.00 -5158.89 
373638.43 4543589.43 -5158.67 
373633.36 4543600.86 -5158.44 
373628.30 4543612.29 -5158.22 
373623.23 4543623.71 -5158.00 
373618.16 4543635.14 -5157.78 
373613.09 4543646.57 -5157.56 
373608.03 4543657.99 -5157.33 
373602.96 4543669.42 -5157.11 
373597.89 4543680.85 -5156.89 
373592.82 4543692.27 -5156.67 
373587.76 4543703.70 -5156.33 
373582.69 4543715.13 -5156.00 
373577.62 4543726.55 -5155.78 
373572.56 4543737.98 -5155.56 
373567.49 4543749.41 -5155.33 
373562.42 4543760.84 -5155.11 
373557.35 4543772.26 -5154.78 
373552.29 4543783.69 -5154.44 
373547.22 4543795.12 -5154.00 
373542.15 4543806.54 -5153.56 
373537.08 4543817.97 -5153.11 
373532.02 4543829.40 -5152.67 
373526.95 4543840.82 -5152.22 
373521.88 4543852.25 -5151.78 
373516.81 4543863.68 -5151.33 
373511.75 4543875.11 -5150.89 
373506.68 4543886.53 -5150.44 
373501.61 4543897.96 -5150.00 
373496.55 4543909.39 -5149.67 
373491.48 4543920.81 -5149.33 
373486.41 4543932.24 -5149.00 
373481.34 4543943.67 -5148.67 
373476.28 4543955.09 -5148.44 
373471.21 4543966.52 -5148.22 
373466.14 4543977.95 -5148.11 
373461.07 4543989.37 -5148.00 
373456.01 4544000.80 -5148.00 
373450.94 4544012.23 -5148.00 
373445.87 4544023.66 -5147.89 
373440.81 4544035.08 -5147.78 
373435.74 4544046.51 -5147.56 
373430.67 4544057.94 -5147.33 
373425.60 4544069.36 -5147.11 
373420.54 4544080.79 -5146.89 
373415.47 4544092.22 -5146.67 
373410.40 4544103.64 -5146.44 
373405.33 4544115.07 -5146.22 
373400.27 4544126.50 -5146.00 
